|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
| BD284211 | 21:51:11.02 | +28:51:50.4 | 10.7 |    1x180 |  1.0 |   180.0 | 2024-11-23 02:07:27.548 |
| BD174708 | 22:11:31.37 | +18:05:34.2 |  9.2 |    1x135 |  1.0 |   135.0 | 2024-11-23 02:15:27.548 |
|  2024ryv | 00:25:29.99 | +20:14:34.9 | 18.4 |   8x1200 |  8.0 |  1200.0 | 2024-11-23 02:22:42.548 |
|  2024rmj | 01:07:52.74 | +03:30:40.3 | 17.2 |   6x1200 |  6.0 |  1200.0 | 2024-11-23 05:30:27.548 |
|  2024xal | 03:44:01.35 | -14:21:44.4 | 15.7 |   3x1000 |  3.0 |  1000.0 | 2024-11-23 07:51:42.548 |
|  2024gvz | 06:07:51.73 | -24:53:52.7 | 17.6 |   6x1200 |  6.0 |  1200.0 | 2024-11-23 08:53:12.548 |
|  2024inv | 11:06:32.16 | +11:22:42.6 | 17.5 |   5x1200 |  5.0 |  1200.0 | 2024-11-23 11:14:27.548 |
|  Feige34 | 10:39:36.74 | +43:06:09.3 | 11.2 |    1x180 |  1.0 |   180.0 | 2024-11-23 13:12:27.548 |
|     HZ44 | 13:23:35.26 | +36:07:59.5 | 11.7 |    1x240 |  1.0 |   240.0 | 2024-11-23 13:20:27.548 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-11-23 13:29:27.548 |
